title,rel_year,director,producer,studio,prc,cat,award,lc
Mademoiselle Striptease,1957,UnYear51,Dennis F. Stevens,Cinema Arts,col,18+,,Paris city
The Wonderful Country,1956,Unknown56,Dennis F. Stevens,Cinema Arts,col,west,,Paris city
Burn; Hollywood; Burn: An Alan Smithee Film,1998,Hiller,Esterhaz,Buena Vista,col,,,NYC city city city
A Forgotten Tune for the Flute,1987,Ryazanov,Esterhaz,Buena Vista,col,,,NYC city city city
Hold That Hypnotist,1957,Jewell,Ben Schwalb,Allied,bnw,,,NYC city city city
Murder; Incorporated,1957,Burt~Balaban,Stuart Rosenberg,Fox,cs,dram,,NYC city
Antigone,1985,D.Taylor,Peter Vincent Douglas,BBC,tv,dram,H*,Pearl Harbor sea resort
Beaumarchais l\\'insolent,1996,Molinaro,Marcello Danon,U.A,tcol,,,Pearl Harbor sea resort town bar bar
El Ataud del Coffin,1958,Mendez,Abel Salazar,K.Gordon Murray ,bnw,horr,,Pearl Harbor sea resort town bar bar
Dimenticare Palermo,1990,Rosi,Patrice Ledoux,Gaumont,ecol,musc,H**,Pearl Harbor sea resort town bar bar csd town
Carry On Emanuelle,1977,G.Thomas,Peter Rogers,Anglo Amalgamated,bnw,,,Pearl Harbor sea resort town bar bar csd town mil.inst.
Ronin,1998,Frankenheimer,Frank Macusi~jr.,U.A.,col,susp,,Paris city resort
Godzilla\\'s Revenge,1969,Honda,Tanaka,Toho,col,s.f.,,Paris city resort work
Flipper,1996,J.B.Clark,J.B.Clark,API,col,advt,,Dallas city
Wicked Lady,1983,Winner,Elliot Kastner,Cannon,col,,,NYC city movies csd
Rockets Galore,1957,Relph,Dearden,Rank,tcol,,,NYC city movies csd
Mutter Courage und Ihre Kinder,1961,Wekwerth,Dearden,Berliner Ensemble,tcol,dram,,NYC city movies csd
Three Fugitives,1957,Acub,Dearden,Berliner Ensemble,tcol,dram,,NYC city movies csd
The Vampire,1957,Landres,Jules Levy,U.A.,bnw,horr,,NYC city movies csd
The Girl in the Kremlin,1957,Birdwell,Zugsmith,Universal,bnw,dram,,NYC city movies csd
The Man With Bogart\\'s Face,1980,R.Day,Melvin Simon,Fox,col,,,NYC city movies csd palace
The Man in the Moon,1991,Mulligan,Mulligan,MGM-U.A.,col,romt,,Hollywood town school town
Purple Hearts,1984,Furie,James S. White,Paramount,col,horr,H*,Hollywood town school town
Gloria,1999,Lumet,Ransohoff,Paramount,col,dram,,NYC city hospital
Saving Private Ryan,1998,Spielberg,Ian Bryce,DreamWorks,col,dram,AA,Omaha Beach mil.inst.
The Woman Who Turned to Salt,1958,Siliphant,Hitchcock,Shamley,tv,susp,AA,Omaha Beach mil.inst.
Rock; Rock; Rock,1957,W.Price,Hitchcock,Shamley,tv,musc,AA,Omaha Beach mil.inst.
Mother India,1957,Mehboob,Hitchcock,Mehboob productions,tcol,dram,AAN,Omaha Beach mil.inst.
Seisaku no Tsuma,1965,Masumura,Hitchcock,Mehboob productions,tcol,dram,AAN,Omaha Beach mil.inst.
Stage Struck,1957,UnYear57,Hitchcock,Mehboob productions,tcol,dram,AAN,Omaha Beach mil.inst. airplane
Fiend Without a Face,1958,Crabtree,John Croydon,MGM,bnw,s.f.,AAN,Omaha Beach mil.inst. airplane museum mil.inst.
Saint Louis Blues,1958,A.Reisner,Robin Smith,Paramount,bnw,biop,AAN,St.Louis city city
Too Much Too Soon,1958,Napoleon,Blanke,Warners,bnw,biop,H*,St.Louis city city movies
The Buccaneer,1958,Quinn,deMille,Warners,col,dram,,St.Louis city city movies
Four Friends,1981,A.Penn,Fred Coe,U.A.,bnw,biop,H*,St.Louis city city movies town csd csd
Thunder Road,1958,Ripley,Mitchum,U.A.,bnw,actn,H*,St.Louis city city movies town csd csd csd
Rich Man; Poor Man,1976,Sagal,Walter Seltzer,ABC,tv,dram,H*,L.A. city
Merci pour le Chocolat,2000,Chabrol,Andre Genoves,La Boetie,col,dram,H**,Paris city town
A Family Upside Down,1980,Rich,J.Lang,Universal,tcol,dram,,Paris city town
How To Succeed in Business Without Really Trying,1967,Swift,Kohlmar,U.A.,deluxe,musc,H**,NYC city
Vivement Dimanche,1983,Truffaut,Marcel Bebert,Carosse,bnw,noir,,Grenoble town
Cosmic Monster,1958,Dunn,Marcel Bebert,Carosse,bnw,noir,,Grenoble town
Blood from the Mummy\\'s Tomb,1971,Gilling,Anthony Nelson-Kay,Hammer,tcol,horr,,Grenoble town resort
On the Nose,1958,Elman,J.Harrison,Shamley,tv,susp,,Grenoble town resort
Robocop III,1991,Kershner,Jon Davidson,Orion,col,actn,H*,Detroit city
Murder by Contract,1958,Lerner,Jon Davidson,Orion,col,susp,H*,Detroit city
Beware! The Blob,1972,Yeaworthy,Jack H. Harrris,Paramount,col,horr,H*,Detroit city town
The Liquidator,1965,Cardiff,Leslie Elliott,MGM British,mcol,,H*,London city
The Last Valley,1971,Clavell,Clavell,ABC,ecol,actn,,London city slum
State Fair,1962,J.Ferrer,Charles Brackett,Fox,cs,,,Paris city am.park
Everybody Wins,1989,Reisz,Bernard Schwartz,HBO,col,actn,,Norwich town
Uli; le Valet de ferme,1960,Fruh,Bernard Schwartz,HBO,col,dram,,Norwich town work public
tom thumb,1958,Foder,Pal,MGM,col,,,Norwich town work public
Araya,1958,Benacerraf,Pal,MGM,bnw,docu,,Norwich town work public town
Black Orpheus,1958,Camus,Sacha Gordine,Dispatfilm,cs,docu,AA,Rio de Janeiro city
The Music Man,1962,daCosta,daCosta,Warners,col,musc,H***,NYC city town
van Gogh,1992,Pialat,daCosta,Gaumont,col,biop,Palm,Auvers-sur-Oise csd
The Life Work of Juan Diaz,1964,N.LLoyd,Hitchcock,Shamley,tv,susp,Palm,Auvers-sur-Oise csd city town school csd csd
Missile to the Moon,1959,Cunha,Marc Frederic,Astor,bnw,,Palm,Auvers-sur-Oise csd city town school csd csd
The Trap,1966,Hayers,George E. Brown,Hollyburn,col,romt,H**,Auvers-sur-Oise csd city town school csd csd csd
Monsieur Lecoq,1968,S.Holt,Jimmy Sangster,Hammer,bnw,susp,H*,Riviera resort desert
Tarzan\'s Jungle Rebellion,1970,Whitney,Hitchcock,Shamley,col,advt,H*,Riviera resort desert
The Sparrow,1973,Chahine,Hitchcock,Shamley,col,advt,H*,Riviera resort desert
The Sacrifice,1986,Tarkovsky,Hitchcock,Mosfilm,bnw,dram,H**,Solaris space mil.inst csd
Morituri,1965,Wicki,Aaron Rosenberg,Arcola,bnw,dram,H*,Solaris space mil.inst csd mil.inst. csd ship
Forecast: Low Clouds and Coastal Fog,1963,C.Haas,Hitchcock,Shamley,tv,susp,H*,Solaris space mil.inst csd mil.inst. csd ship jail
Astero,1959,Dimopoulos,Hitchcock,Shamley,tv,dram,H*,Solaris space mil.inst csd mil.inst. csd ship jail mountains
The Thirty-nine Steps,1978,D.Sharp,James Kenelm Clarke,Pinewood Rank,ecol,horr,H*,London city
Miss Congeniality,2000,Petrie,Sandra Bullock,Warners,tcol,cnr,,Miss USA pageant theater
Rendezvouz in Paris,1996,Rohmer,Sandra Bullock,Carosse,col,romt,H*,Paris city
Seelische Grausamkeit,1961,Schmidhauser,Sandra Bullock,Carosse,col,dram,H*,Paris city law
My Love; My Son,1970,Newland,Hitchcock,MGM,tv,dram,H*,Paris city law hotel river
Histoire(s) du Cinema,1997,Godard,Boyd\'s Co.,Lightyear Entertainment,col,hist,H**,Sarajevo city
The Tender Poisoner,1962,Horn,Hitchcock,Shamley,tv,susp,H**,Sarajevo city
Green Mansions,1959,M.Ferrer,Grainger,Avon,tv,dram,H**,Amazon forest river
Isabel,1968,Almond,J.Harrison,Shamley,col,susp,H**,Amazon forest river store church resort
A Woman Called Moses,1978,Wendkos,Richard Berg,Xenon Entertainment,tv,dram,,Rome city
The Intelligence Man,1965,R.Asher,Richard Berg,Xenon Entertainment,tv,dram,,Rome city
The Seven Minutes,1971,Russ~Meyer,Russ~Meyer,Fox,deluxe,18+,,L.A. city
War and Peace,1964,Bondartchuk,Russ~Meyer,Mosfilm,col,18+,AA,L.A. city
Brubaker,1980,Rosenberg,Ron Silverman,Fox,deluxe,dram,H*,S.F. city hospital ship
The Phantom of the Opera,1990,T.Richardson,Scherek,NBC,col,horr,,Manchester city csd church hotel
Sunrise at Campobello,1960,Donehue,Schary,Warners,tcol,horr,H*,Manchester city csd church hotel
Carmen; de la Ronda,1959,Demicheli,Schary,Warners,tcol,dram,H*,Manchester city csd church hotel
Last Seen Wearing Bluejeans,1963,Crosland~jr,Hitchcock,Shamley,tv,susp,H*,Dos Cucares bar town
On Her Bed of Roses,1966,Zugsmith,Robert Caramico,Famous,bnw,dram,H*,Dos Cucares bar town school
Ma Barker\'s Killer Brood,1960,Karn,William J. Farris,Filmservice,bnw,actn,H*,Dos Cucares bar town school
Les Miserables,1995,Lelouch,William J. Farris,Filmservice,col,dram,,Paris city
Under Ten Flags,1960,Coletti,DeLaurentiis,Paramount,bnw,docu,,Paris ship city city
The Green Man,1990,D.Potter,Amiel,BBC,col,horr,,Paris ship city city town hospital hotel
Pollyanna,1960,D.Smith,George Golitzen,Disney,tcol,romt,H*,Paris ship city city town hospital hotel town
Cabra Marcadao Para Morrer,1984,Coutinho,George Golitzen,Disney,tcol,docu,H*,Paris ship city city town hospital hotel town csd
En Este Pueblo No Hay Ladrones,1964,Cortes,George Golitzen,Disney,tcol,,H*,Paris ship city city town hospital hotel town csd
Craig\'s Will,1960,G.Reynolds,Hitchcock,Shamley,tv,susp,H*,Paris ship city city town hospital hotel town csd
Burn!,1970,Pontocorvo,Antonio Musu,Allied Artists,bnw,dram,,Paris ship city city town hospital hotel town csd island
L\\'As des As,1980,Oury,Alain Poire,Gaumont Int.,col,dram,,Berlin city
The Time Machine,1960,Pal,Pal,MGM,mcol,s.f.,H*,Berlin city
Coming; Mama,1961,G.Stevens~jr.,J.Harrison,Shamley,bnw,susp,H*,Copper Pocket bar
Party Line,1960,H.A.Green,J.Harrison,Shamley,tv,susp,H*,Copper Pocket bar
Foxhole in Cairo,1960,Moxey,Donald Taylor,Omnia,bnw,biop,,Cairo city
Cold Comfort Farm,1996,Schlesinger,James Robinson,Fox,col,romt,,S.F. city
The Patsy,1964,J.Lewis,J.Lewis,Paramount,tcol,,,Hollywood town
Trois Places Pour la 26,1988,J.Demy,Sanford Lieberson,Sagittarius,ecol,biop,,Hamelin town
The 3 Worlds of Gulliver,1960,Sher,Sanford Lieberson,Sagittarius,ecol,s.f.,,Hamelin town
The Green Berets,1968,J.Wayne,J.Wayne,Batjac,tcol,actn,,Hamelin town mil.inst. mil.inst.
Come Back Africa,1960,Rogosin,J.Wayne,Batjac,tcol,docu,,Johannesburg city
Private Property,1960,L.Stevens,L.Stevens,Citation,bnw,actn,,Hollywood town
Antefatto,1972,Bava,Guiseppe Zacciarello,Hallmark,col,horr,,Hollywood town
Scipio; the African,1967,Bonnard,Paolo Moffa,U.A.,col,hist,,Pompeii city
Lady Frankenstein,1972,M.Welles,Harry Cushing,New World,mcol,s.f.,,Pompeii city csd work
Empire of Passion,1978,Oshima,Harry Cushing,New World,mcol,,,Pompeii city csd work slum
Showgirls,1996,P.Verhoeven,Shep Morgan,Tristar,col,18+,,Mars space
The Schartz-Metterklume Method,1960,Dunlap,J.Harrison,Shamley,tv,susp,,Mars space csd
Chiefs,1968,Ri.Leacock,J.Harrison,Shamley,tv,susp,,Mars space csd
The Subterraneans,1960,MacDougall,Freed,MGM,cs,18+,,S.F. city
The Wackiest Ship in the Army,1960,Rich.Murphy,Freed,MGM,cs,18+,,S.F. city
The Stunt Man,1980,Rush,Melvin Simon,Warners,mcol,dram,H*,S.F. city
L\'Amante del Vampiro,1960,Polselli,Bruna Bolognesi,A.A.,bnw,horr,H*,S.F. city palace
The Minotaur,1960,Amadio,Rudolphe Solmsen,U.A. ,col,advt,H*,Naxos island
Julius Caesar,1970,Burge,Peter Snell,Coomonweath United,tcol,dram,,Naxos island
Completely Foolproof,1965,Kjellin,Hitchcock,Shamley,tv,susp,,NYC city
A Cold Wind in August,1961,A.Singer,Hitchcock,Shamley,tv,dram,,NYC city
International Velvet,1978,B.Forbes,B.Forbes,MGM,mcol,dram,,NYC city csd town
Motel,1989,Blackwood,Blackwood,MGM,mcol,docu,,motel public public theater
Investigation of a Citizen above Suspicion,1970,Petri,Blackwood,MGM,mcol,dram,,Rome city
Mantrap,1961,OBrien,OBrien,Paramount,bnw,dram,,Rome city
Craze,1974,Francis,Herman Cohen,Warners,col,,,Rome city estate church hospital
The Woman in Red,1984,G.Wilder,Victor Drai,Orion,deluxe,,H*,Rome city estate church hospital
Harum Scarum,1965,Gn.Nelson,Sam Katzman,MGM,col,musc,H*,Rome city estate church hospital desert csd desert
The Golden Voyage of Sinbad,1974,Hessler,Charles H. Schneer,Columbia,tcol,,H*,Arabia
Unknown,1954,G.Reinhardt,G.Reinhardt,MGM,ecol,,,Arabia
Rikyu,1990,Teshigahara,Kiichi Ichikawa,Tesigahara,bnw,dram,,Barcelona city bar
Une Aussi Longue Absence,1961,Colpi,Jacques Nahum,Lyre,bnw,romt,H*,Paris city
Im Stahlnetz des Dr.~Mabuse,1962,Reinl,Arthur Brauner,A Jay,bnw,horr,H*,Chicago city
I\\'m Almost Not Crazy,1994,JCassavetes,JCassavetes,JCassavetes,col,docu,,L.A. city
Something Wild,1961,Garfein,George Justin,U.A.,bnw,docu,,L.A. city
The Roman Spring of Mrs Stone,1961,Quintero,Louis deRochemont,Warners,tcol,dram,H*,Rome city
Chronique d\'un \\'Et\\'e,1961,Rouch,Louis deRochemont,Warners,tcol,dram,H*,Rome city
One Eyed Jacks,1961,Brando,Frank P. Rosenberg,Paramount,tcol,west,,Rome city
Plaisir D\\'Amour,1991,N.Kaplan,Frank P. Rosenberg,Paramount,tcol,romt,,Grand Palais museum csd movies
The 120 days of Sodom,1975,Pasolini,Frank P. Rosenberg,Paramount,bnw,18+,H*,Rome city home
Chouans !,1987,DeBroca,Georges Danciger,Filmsonor,ecol,,H**,Rome city home csd csd
Happy Anniversary,1961,Etaix,Georges Danciger,Capac,bnw,,H*,Paris city
Beethoven\\' Nephew,1986,Morrissey,Jack Simmons,Atlantic ,col,18+,,L.A. city
Fiorile,1994,Taviani,V.Taviani,Atlantic ,ecol,hist,,L.A. city csd movies csd
Die Kurve,1961,Zadek,V.Taviani,Atlantic ,bnw,susp,,L.A. city csd movies csd csd
Finders Keepers,1984,R.Lester,Terence Marsh,CBS,tcol,susp,,NYC train city
The Cat and the Canary,1978,R.Metzger,Rich.Gordon,Grenadier,tcol,romt,,NYC train city estate
The Ninja Cafe,1999,Polanski,Polanski,Paramount,col,horr,,cruise ship
The Osterman Weekend,1983,Peckinpah,Robert M. Sherman,EMI,col,actn,,cruise ship csd csd
The Cool World,1964,Clarke,Robert M. Sherman,EMI,col,docu,,Harlem slum
Once Upon A Time in America,1984,S.Leone,Aaron Milchan,Embassy,tcol,actn,H**,Harlem slum
The Mask,1961,Vorkapich,Aaron Milchan,Embassy,col,horr,H**,Harlem slum
Sledge,1961,Morrow,Aaron Milchan,Embassy,col,horr,H**,Harlem slum
Daffy Duck\'s Quackbusters,1988,Reitherman,Aaron Milchan,Disney,tcol,,H**,Harlem slum csd
Castle of Blood,1964,Margheriti,Goffredo Lombardo,MGM,col,horr,H**,Damascus
Trans-Europe Express,1966,RobbeGrillet,Goffredo Lombardo,MGM,col,susp,H**,Damascus train
A hundred and one nights,1998,Varda,Goffredo Lombardo,MGM,col,biop,H**,Nantes town theater
"Die T\""ur mit den Sieben Schl\:ossern",1962,Vohrer,Goffredo Lombardo,UCC,bnw,horr,H**,Nantes town theater
Besieged,1999,Bertolucci,Jeremy~Thomas,Miramax,col,dram,AA,Bejing city desert estate
Mon Homme,1996,Bt.Blier,Jeremy~Thomas,Miramax,col,romt,AA,Bejing city desert estate
Water\'s Edge,1964,B.Girard,Hitchcock,Shamley,tv,susp,AA,boxing rinks sports
The Amateur,1982,Jarrot,Jan Williams,Disney,tcol,advt,,Hollywood city town island sea
The Car,1977,Silverstein,Howard,Disney,col,west,,Hollywood city town island sea
On The Bridge,1982,F.Perry,Frank Yablans,Fox,col,docu,,Hollywood city town island sea school resort hospital
The Ugly American,1962,Englund,Englund,U-I,ecol,dram,,Hollywood city town island sea school resort hospital
Antonio das Mortes,1962,Rocha,Englund,U-I,ecol,dram,,Bahia city
The Little Drummer Girl,1984,G.R.Hill,Robert L. Crawford,Orion,col,dram,,Meering Academy school home
Aqua Sex,1965,Lamb,Lamb,Art Films Int.,col,18+,,Meering Academy school home resort resort
Carnival of Souls,1962,Herk,Herk,Herts-Lion,bnw,horr,,Meering Academy school home resort resort
The Sorcerer\\'s Apprentice,1962,Leytis,Hitchcock,Shamley,tv,horr,,Meering Academy school home resort resort
Matrimonial Warfare,1975,deAndrade,Hitchcock,Shamley,tv,dram,,Meering Academy school home resort resort sports csd city
House on Bare Mountain,1962,Frost,Wesdon Bishop,Olympic,tv,horr,,Meering Academy school home resort resort sports csd city school
The Kid with the Broken Halo,1965,Martinson,James Begg,Fox,col,,H*,NYC city
Hot Rock,1999,Yates,Roland Croft,Touchstoners,col,dram,,Marin County city csd jail
Lethal Weapon 4,1998,R.Donner,R.Donner,Warners,col,actn,,NYC city
Ring of Spies,1964,Tronson,R.Donner,Warners,col,biop,,London city
Embryo,1976,R.Nelson,Anita Doohan,Cine Artists,col,s.f.,,London city hospital csd
Random,1998,S.Pollack,John Davis,Paramount,col,dram,T90,Washington city
Pasazerka,1963,Munk,John Davis,Kadr ,bnw,dram,H*,Washington city
All The Way Home,1963,A.Segal,David Susskind,Paramount,bnw,dram,H**,Washington city town
The Nude Restaurant,1967,Warhol,David Susskind,Paramount,bnw,dram,H**,Washington city town
The Thief Who Came to Dinner,1973,Bud~Yorkin,Norman~Lear,Warners,col,,,London city
Man on the Roof,1977,Widerberg,Waldemar Bergendahl,Saggitarius,ecol,,Palm,London city
The Strangler,1963,Topper,Waldemar Bergendahl,AA,bnw,horr,,London city
Ganga Zumba,1963,Digues,Waldemar Bergendahl,AA,bnw,horr,,London city
Mata Hari,1985,Harrington,Rony Yacov,Cannon,ecol,dram,,London city
Creatures the World Forgot,1971,Chaffey,Carreras,Hammer,col,18+,H***,London city sea
The Rainmaker,1997,Coppola,Fred Fuchs,Constallation,col,dram,AA,Memphis city
Yes; Giorgio,1982,Schaffner,Peter Fetterman,MGM-U.A.,mcol,musc,H*,Boston city
La maison assassinee,1990,Lautner,Peter Fetterman,Gaumont,col,susp,,Boston city bar town
Power of Attorney,1965,Hart,Hitchcock,Shamley,tv,susp,,Boston city bar town town csd
Blues Brothers 2000,1998,Landis,Lipsky,Paramount,col,musc,H**,Queens palace slum
Loving Couples,1981,Smight,Renee Valente,TimeLife,mcol,romt,,Broadway city jail airplane sea
Pouic-Pouic,1963,Girault,Renee Valente,TimeLife,mcol,romt,,Broadway city jail airplane sea
Sparrows Can\\'t Sing,1963,Littlewood,Renee Valente,TimeLife,mcol,romt,,Broadway city jail airplane sea
I\\'ll Be The Judge; I\\'ll Be The Jury,1963,J.Sheldon,Hitchcock,Shamley,tv,susp,,Broadway city jail airplane sea
Promises! Promises!,1963,K.Donovan,D.F.Taylor,NDT,bnw,,,Broadway city jail airplane sea ship
Ciao; professore,1994,Wertmuller,Carlo Ponti,Cinema 5,col,dram,,Naples city csd
The Sorrow and the Pity,1969,Marcle~Ophuls,Carlo Ponti,Cinema 5,col,dram,,Naples city csd
Hurricane,1999,Jewison,Jewison,BuenaVista,col,biop,,NYC city work mil.inst.
The Three Stooges Go Around the World in A Daze,1963,Maurer,maurer,Columbia,bnw,,,NYC city work mil.inst.
Allegro Ma Troppo,1963,deRoubais,maurer,Films je Vois Tout,ecol,docu,,Paris city
Rising Sun,1993,Ph.Kaufman,Peter Kaufman,Universal,col,cnr,H*,L.A. city
Stop Train 349,,Haedrich ,Ray Ventura,Da Ma,col,susp,H*,Berlin city
Sign of Satan,1964,R.Douglas,Hitchcock,Shamley,tv,susp,H*,Hollywood town
The Thrill Killers,1965,Steckler,Hitchcock,Shamley,col,horr,H*,Hollywood town
The Waltz King,1963,Previn,Peter V. Herald,Disney,tcol,musc,,Vienna city
Day of the Triffids,1963,Sekely,George Pitcher,Disney,cs,s.f.,H*,Vienna city
Kidnapped,1995,W.Hussein,Roy Bard,USA home,col,dram,H*,Vienna city
A Private Function,1984,A.Bennett,Mark Shivas,Handmade,col,,H**,Yorkshire csd
They Came to Rob Las Vegas,1969,Isasmendi,Mark Shivas,Capitole,col,actn,H**,Las Vegas city
Support Your Local Sheriff,1969,Kennedy,William Bowers,U.A.,tcol,west,H**,Las Vegas city work csd
Germinal,1994,Cl.Berri,William Bowers,Sony,col,dram,H**,Las Vegas city work csd csd csd work
The World\'s Oldest Motive,1965,H.Morgan,Hitchcock,Shamley,tv,susp,H**,Las Vegas city work csd csd csd work
She-Devils on Wheels,1968,H.G.Lewis,David Friedman,Box Office Spectaculars,col,horr,H**,Pleasant Valley town
Ghosts Can\\'t Do It,1990,Derek,Bo Derek,Buena Vista,col,18+,,Maldive Islands csd
Stalin,1992,Passer,Mark Carliner,HBO,col,biop,,Las Vegas city
La Maman et La Putaine,1973,Eustache,Mark Carliner,HBO,col,noir,,Paris city town town
Rita Hayworth: The Love Goddess,1983,Goldstone,Jennings Lang,Universal,tcol,biop,,NYC city
The Insatiable Mrs.~Kirsch,1994,K.Russell,Ronald Vasconcellos,Ziegler,col,romt,,Vienna city movies csd
Anyone for Murder?,1964,L.Penn,Hitchcock,Shamley,tv,susp,,Vienna city movies csd
Cronica de un Nino Solo,1964,Favio,Hitchcock,Shamley,tv,dram,,Vienna city movies csd
Hold Me; Thrill Me; Kiss Me,1992,Hirszman,Hitchcock,Shamley,tv,docu,,El Monte city town
Navy Seals,1990,Teague,Bernard Williams,Orion,col,actn,H*,Chicago city store roads sea
42 Up,1999,Apted,Elizabeth Hurley,Fox,col,docu,,Instanbul csd city
Man in the Moon,1999,Forman,Saul Zaentz,Jesy Films,col,,AA,Vienna city
Scrubbers,1982,Zetterling,Rune Waldekranz,Sandrew,bnw,dram,H*,Vienna city
Stay Away; Joe,1968,Tewkesbury,Everett Freeman,MGM,col,west,H*,NYC city
The Vampire of Dusseldorf,1964,Hossein,Everett Freeman,MGM,col,west,H*,Dusseldorf city
Tigerstreifenbaby wartet auf Tarzan,1998,Thome,Everett Freeman,Moana Film,col,,H*,Dusseldorf city
Three Nuts in Search of a Bolt,1964,Ty.Noonan,Ian McGlashan,Harlequin Int.,col,,H*,Dusseldorf city
The Last Man on Earth,1964,Ragona,Robert L. Lippert,AIP,bnw,s.f.,H*,Dusseldorf city
Guantanamera,1996,Alea,Robert L. Lippert,AIP,col,,AAN,Havana city
Rules of Engagement,1999,Friedkin,Irving H. Levin,Paramount,col,horr,,L.A. city mil.inst.
Santa Claus Captures the Martians,1964,UnYear64,Levine,Paramount,tv,,,Mars space
Furia a Bahia pour OSS 117,1965,Hunebelle,Paul Cadeac,Embassy,col,,,Rio de Janeiro city
