stagename,dowstart,dowend,lname,fname,gender,dob,dod,roletype,origin
Harrison Ford,1932,1990,Ford,Harrison,M,1917,1984,action lead,Am
Paul Ford,1945,1967,Weaver,Paul Ford,M,1901,1976,character,Am
Wallace Ford,1932,1966,Grundy,Sam,M,1897,1966,general purpose,Br
Deborah Foreman,,,,,F,,1992,unknown,Ct
Mark Forest,1960,1964,Degni,Lou,M,1933,1984,muscle man,Am
George Formby,1933,1946,Formby,George,M,1905,1961,toothy grin,Br
Frederic Forrest,1972,1983,Forrest,Frederic,M,,1984,lead,Am
Mike Forrest,,,,,M,,1992,unknown,Ct
Steve Forrest,1952,1983,Andrews,William Forrest,M,1924,1984,lead,Am
Constance Forslund,,,,,F,,1992,unknown,Ct
Robert Forster,1967,1983,Forster,Robert,M,1942,1984,sardonic-looking,Am
Rudolph Forster,1932,1932,Forster,Rudolph,M,1884,1968,heavy personality,Ge
Bruce Forsyth,1968,1971,Forsyth,Bruce,M,1927,1984,bouncy; beaming,Br
Rosemary Forsyth,1965,1978,Forsyth,Rosemary,F,1944,1984,lead,Am
Henderson Forsythe,,,,,M,,1992,unknown,Ct
John Forsythe,1943,1981,Freund,John,M,1918,1984,smooth,Am
Nick Apollo Forte,,,,,M,,1992,unknown,Ct
Brigitte Fossey,1952,1982,Fossey,Brigitte,F,1945,1984,juvenile,Fr
Barry Foster,1956,1983,Foster,Barry,M,1931,1984,comic relief,Br
Dianne Foster,1951,1963,Laruska,D.,F,1928,1984,lead,Ca
Jodie Foster,1972,1982,Foster,Alicia Christian,F,1962,1984,child actress,Am
John Foster,,,,,M,,1992,unknown,Ct
Julia Foster,1963,1972,Foster,Julia,F,1941,1984,lead,Br
Meg Foster,1971,1984,Foster,Meg,F,,1984,striking blue eyes,Am
Norman Foster,1929,1967,Foster,Norman,M,1900,1976,lead,Am
Phil Foster,,,,,M,,1992,unknown,Ct
Preston Foster,1930,1968,Foster,Preston,M,1901,1970,handsome,Am
Robert Foster,,,,,M,,1992,unknown,Ct
Susanna Foster,1940,1945,Larsen,Susan,F,1924,1984,operatic singer,Am
Byron Foulger,1937,1969,Foulger,Byron,M,1900,1970,worried; bespeckled clerk,Am
Susannah Fowle,,,,,F,,1992,unknown,Ct
Harry Fowler,1942,1977,Fowler,Harry,M,1926,1984,cockney,Br
Douglas Fowley,1934,1977,Fowley,Douglas,M,1911,1984,nervous and comic gangster,Am
Bernard Fox,1956,1977,Fox,Bernard,M,,1984,stiff gent,Br
Edward Fox,1967,1984,Fox,Edward,M,1937,1984,diffident,Br
James Fox,1963,1984,Fox,James,M,1939,1984,weakling,Br
Michael J. Fox,1989,,Fox,Michael J.,M,1961,1984,cute,Am
Sidney Fox,1931,1934,Fox,Sidney,F,1910,1942,lead,Am
William Fox,1984,1985, Fried,Wilhelm,M,1879,1952,unknown,Hu
Red Foxx,1990,,Sanford,John Elroy,M,1922,1991,cantankerous,Am
Eddie Foy~jr.,1940,1967,Foy~jr,Eddie,M,1905,1983,vaudeville,Am
C.V. France,1931,1944,France,C.V.,M,1868,1949,unknown,Br
Rolla France,,,,,M,,1992,unknown,Ct
Victor Francen,1921,1966,Francen,Victor,M,1888,1977,spy dramas,Be
Anthony Franciosa,1957,1982,Papaleo,Anthony,M,1928,1984,lithe and light grin,It
Alec B. Francis,1919,1934,Francis,Alec B.,M,1869,1934,elderly gentleman,Br
Anne Francis,1948,1972,Francis,Anne,F,1930,1984,lead,Am
Arlene Francis,1943,1963,Francis,Arlene,M,1908,1984,lead,Am
Connie Francis,1963,1965,Franconero,Constance,F,1938,1984,pop singer,Am
Eve Francis,1922,,Francis,Eve,F,,1984,lead,Fr
Ivor Francis,1970,1978,Francis,Ivor,M,,1984,character,Am
Kay Francis,1929,1946,Gibbs,Katherine,F,1899,1968,serious-faced,Am
Robert Francis,1954,1955,Francis,Robert,M,1930,1955,lead,Am
James Franciscus,1956,1982,Franciscus,James,M,1934,1991,lead,Am
Don Francks,1968,1968,Francks,Don,M,1932,1984,singer,Ca
Jacques Francois,1951,,Fran{c}cois,Jacques,M,,1984,unknown,Fr
Ben Frank,,,,,M,,1992,unknown,Ct
Charles Frank,1947,1953,Frank,Charles,M,1910,1984,unknown,Am
Richard Frank,,,,,M,,1992,unknown,Ct
Steve Franken,,,,,M,,1992,unknown,Ct
Paul Frankeur,,,,,M,,1992,unknown,Ct
Aretha Franklin,,,,,F,,1992,singer,Ct
Pamela Franklin,1961,1976,Franklin,Pamela,F,1949,1984,juvenile,Br
James Franks,,,,,M,,1992,unknown,Ct
Arthur Franz,1948,1982,Franz,Arthur,M,1920,1984,lead; character,Am
Eduard Franz,1948,1978,Franz,Eduard,M,1902,1983,character,Am
Bill Fraser,1969,,Fraser,William,M,,1987,lead,Ct
John Fraser,1953,1977,Fraser,John,M,1931,1984,lead,Br
Liz Fraser,1958,1977,Fraser,Liz,F,1933,1984,dumb cockney blonde,Br
Richard Fraser,1941,1951,Fraser,Richard,M,1913,1971,lead,Br
Ronald Fraser,1959,1982,Fraser,Ronald,M,1930,1984,stocky,Br
William Frawley,1933,1963,Frawley,William,M,1887,1966,stocky; cigar-chewing,Am
Robert Frazer,,,,,M,,1992,unknown,Ct
Sheila Frazer,,,,,F,,1992,unknown,Ct
Lynn Frederick,1970,1979,Frederick,Lynn,F,,1984,lead,Br
Pauline Frederick,1915,1938,Frederick,Pauline,F,1883,1938,lead,Am
Vicki Frederick,,,,,F,,1992,unknown,Ct
Alan Freed,,,,,M,,1992,unknown,Ct
Bert Freed,1960,1979,Freed,Bert,M,,1984,burly,Am
Paul Freedman,,,,,M,,1992,unknown,Ct
Al Freeman~jr,1964,1971,Freeman~jr,Al,M,1934,1984,lead,Am
Amy Freeman,,,,,F,,1992,unknown,Ct
Howard Freeman,1943,1965,Freeman,Howard,M,1899,1967,comic,Am
Kathleen Freeman,1947,1974,Freeman,Kathleen,F,1919,1984,character,Am
Mona Freeman,1944,1958,Freeman,Monica,F,1926,1984,troublesome teenager,Am
Paul Freeman,,,,,M,,1992,unknown,Ct
Morna Freeman,,,,,F,,1992,unknown,Ct
Morgan Freeman,,,,,M,,1992,unknown,Ct
Leslie French,1941,1986,French,Leslie,M,1899,1984,diminutive,Br
Pierre Fresnay,1915,1960,Laudenbach,Pierre-Jules-Lions,M,1897,1975,[6],Fr
Bernard Fresson,1959,1946,Fresson,Bernard,M,1933,1984,unknown,Fr
Leonard Frey,1970,1981,Frey,Leonard,M,1938,1984,character,Am
Sauri Frey,,,,,M,,1992,unknown,Ct
Jonathan Frid,1970,1990,Frid,Jonathan,M,1925,1984,vampire,
Blanche Friderici,1922,1934,Friderici,Blanche,F,1878,1933,stark; dour presence,Am
Steve Friedman,,,,,M,,1992,unknown,Ct
John Friedrich,,,,,M,,1992,unknown,Ct
Philip Friend,1941,1962,Friend,Philip,M,1915,1984,lead,Br
Willy Fritsch,1928,1947,Fritsch,Willy,M,1901,1973,jovial,Ge
Gert Frobe,1954,1980,"Fr""obe",Gert,M,1913,1988,villain,Ge
Gustav Froehlich,1926,1931,"Fr""ohlich",Gustav,M,,1987,unknown,Ct
Dominic Frontiere,1956,1981,Frontiere,Dominic,M,1931,1984,unknown,Am
Dwight Frye,1930,1943,Frye,Dwight,M,1899,1943,character,Am
Eric Fryer,,,,,M,,1992,unknown,Ct
Alan Fudge,,,,,M,,1992,unknown,Ct
Dale Fuller,,,,,M,,1992,unknown,Ct
Dolores Fuller,,,,,F,,1992,unknown,Ct
Lance Fuller,,,,,M,,1992,unknown,Ct
Robert Fuller,1966,1977,Fuller,Robert,M,1934,1984,lead,Am
Fiona Fullerton,1969,1972,Fullerton,Fiona,F,1955,1984,juvenile,Br
Jessie Lee Fulton,,,,,M,,1992,unknown,Ct
Annette Funicello,1957,1966,Funicello,Annette,F,1942,1984,lead,Am
Yvonne Furneaux,1952,1966,Furneaux,Yvonne,F,1928,1984,lead,Fr
Judith Furse,1939,1959,Furse,Judith,F,1912,1984,character,Br
Eddie Furlong,,, Furlong,Edward, M,1977,1984,unknown,Ct
Stephen Furst,,,,,M,,1992,unknown,Ct
Will Fyffe,1934,1947,Fyffe,Will,M,1884,1947,comedian,Br
Martin Gabel,1951,1980,Gabel,Martin,M,1912,1984,balding; rotund,Am
Jean Gabin,1930,1972,Moncourg'e,Alexis,M,1904,1976,cool tough,Fr
Clark Gable,1924,1961,Gable,Clark,M,1901,1960,big ears; impudent grin,Am
John Clark Gable,1989,1995,Gable,John Clark,M,1960,1984,unknown,Am
Eva Gabor,1941,1970,Gabor,Eva,F,1921,1984,blonde,Hu
Zsa Zsa Gabor,1952,1972,Gabor,Sari,F,1917,1984,spoiled exotic,Hu
Helen Gahagan,1935,,Gahagan Douglas,Helen,F,,1980,royal,Am
Max Gail,1984,,,,M,,1992,unknown,
Charlotte Gainsbourg,1989,,Gainsbourg,Charlotte,F,,1984,lively,Fr
Serge Gainsbourg,,, Gainsbourg,Serge,M,,1891,unknown,Fr
Peter Gallagher,1982,1990,Gallagher,Peter,M,,1992,unknown,Ct
Rita Gam,1954,,Gam,Rita,F,1940,1984,exotic,Ct
Michael Gambon,1972,1986,Gambon,Michael,M,,1992,intellectual,Br
Robin Gammell,,,,,,,1992,unknown,
Ken Gampu,,,,,M,,1992,unknown,
Abel Gance,1930,,Gance,Abel,M,,1981,,Am
Bruno Ganz,1976,1988,Ganz,Bruno,M,,1992,unusual,Ge
Teresa Ganzel,,,,,F,,1992,unknown,Ct
Matthew Garber,1963,1967,Garber,Matthew,M,1956,1984,child,Br
Greta Garbo,1922,1941,Gustafson,Greta,F,1905,1990,aloof beauty,Sw
Andres Garcia,,,,,F,,1992,unknown,Ct
Carlos Gardel,1920,1935,Gardel,Carlos,M,1893,1935,singer and tango dancer,Ar
Vincent Gardenia,1961,1988,Scognamiglio,Vincent,M,1922,1984,comic character,Am
Reginald Gardiner,1932,1966,Gardiner,Reginald,M,1903,1980,amiable silly,Br
Ava Gardner,1942,1980,Gardner,Ava,F,1922,1990,beauty,Am
Ed Gardner,1945,,Gardner,Ed,M,1901,1963,comic,Am
Allen Garfield,1972,1983,Goorwitz,Allen,M,1939,1984,heavyset,Am
John Garfield,1938,1951,Garfinkle,Jacob Julius,M,1913,1952,aggressive,Am
Art Garfunkel,1970,1979,Garfunkel,Arthur,M,,1984,pop singer,Am
Ed Gargan,1933,1951,Gargan,Ed,M,1902,1964,cop,Am
William Gargan,1932,1957,Gargan,William,M,1905,1979,good guy,Am
John Garko,,,,,M,,1992,unknown,Ct
Beverly Garland,1949,1980,Fessenden,Beverly,F,1926,1984,pert and pretty screamer,Am
Judy Garland,1936,1963,Gumm,Frances,F,1922,1969,singer,Am
James Garner,1956,1993,Baumgarner,James,M,1928,1984,amiable; good-looking,Am
Peggy Ann Garner,1938,1978,Garner,Peggy Ann,F,1931,1984,child star,Am
Steve Garay,,,,,M,,1992,unknown,Ct
Joaquin Garay~III,,,,,M,,1992,unknown,Ct
Teri Garr,1977,1983,Garr,Teri,F,1952,1984,blonde mother,Am
 Jane Garofalo ,1996,1997,Garofalo,fn,F,1965,1984,comic,Ct
Betty Garrett,1946,1975,Garrett,Betty,F,1919,1984,peppy,Am
Eliza Garrett,,,,,F,,1992,unknown,Ct
Leif Garrett,,,,,M,,1992,unknown,Ct
Ellen Garrison,,,,,F,,1992,unknown,Ct
John Garrick,1931,1939,Doudy,Reginald,M,1902,1984,`the other man',Br
Greer Garson,1939,1978,Garson,Greer,F,1908,1984,gentle aristocratic good looks,Br
Jennie Garth,1994,,Garth,Jennie,F,1972,1984,unknown,Am
Harold Gary,,,,,M,,1992,unknown,Ct
Lorraine Gary,1975,1979,Gary,Lorraine,F,,1984,general purpose,Am
Marie-Louise Gassen,,,,,F,,1992,unknown,Ct
Vittoria Gassman,1948,1982,Gassman,Vittoria,M,1922,1984,matinee idol,It
Lisa Gastoni,1954,1974,Gastoni,Lisa,F,1935,1984,lead,It
Larry Gates,1952,1969,Gates,Larry,F,1915,1984,merchant; good guy,Am
Nancy Gates,1942,1960,Gates,Nancy,F,1926,1984,lead,Am
Marjorie Gateson,1931,1953,Gateson,Marjorie,F,1891,1977,dignified mien,Am
Alexander Gauge,1949,1957,Gauge,Alexander,F,1914,1960,heavyweight,Br
Mikkel Gaup,1990,,Gaup,Mikkel,M,1973,1984,brave,No
Fernand Gavet,,,,,M,,1992,unknown,Ct
Erica Gavin,1974, ,,,F,,1984,unknown,Am
John Gavin,1960,,,,M,1928,1984,lead,Am
Peter Gawthorne,1929,1954,Gawthorne,Peter,M,1884,1962,pompous,Br
Gregory Gaye,1936,1958,Gaye,Gregory,M,1900,1984,character,Am
George Gaynes,,,,,M,,1992,unknown,Ct
Janet Gaynor,1926,1957,Gainer,Laura,F,1906,1984,wholesome,Am
Mitzi Gaynor,1950,1963,vonGerber,Francesca Mitzi,F,1930,1984,light lead,Am
Ben Gazzara,1957,1983,Gazzara,Ben,M,1930,1984,rebellious types,Am
Michael Gazzo,,,,,M,,1992,unknown,Ct
Ellen Geer,,,,,F,,1992,unknown,Ct
Will Geer,1932,1978,Ghere,William,M,1902,1978,sinister old men,Am
Judy Geeson,1967,1976,Geeson,Judy,F,1948,1984,lead,Br
Meg Gehrts,1913,1914,Gehrts,Emma Auguste,F,1891,1966,white woman in Africa,Ge
Daniel Gelin,1949,1971,G'elin,Daniel,M,1921,1984,lead,Fr
Guiliano Gemma,1962,1972,Gemma,Guiliano,M,1940,1984,speghetti westerns,It
Laura Gemser,1975,1978,,,F,,1992,nude,
Leo Genn,1935,1970,Genn,Leo,M,1905,1978,bland,Br
Linda Gentile,,,,,F,,1992,unknown,Ct
Chief Dan George,1969,1979,George,Chief,M,1899,1981,unknown,Ca
Christopher George,1968,1983,George,Christopher,M,1929,1983,lead,Am
Gladys George,1920,1954,Clare,Gladys,F,1900,1954,lead,Am
Grace George,1943,1943,George,Grace,F,1879,1961,unknown,Am
Lynda Day George,1968,1983,Day,Linda,F,1944,1984,lead,Am
Muriel George,1932,1955,George,Muriel,F,1883,1965,plump; charladies,Br
Nathan George,,,,,M,,1992,unknown,Ct
Rita George,,,,,F,,1992,unknown,Ct
Susan George,1967,1982,George,Susan,F,1950,1984,lead,Br
Carmelita Geraghty,1925,,,,F,,1992,villain,Am
Gil Gerard,1977,1983,Gerard,Gil,M,1943,1984,lead,Am
Steve Geray,1934,1963,Gyergyay,Stefan,M,1904,1973,mild-mannered,Hu
Bill Gerber,,,,,M,,1992,unknown,Ct
Richard Gere,1975,1983,Gere,Richard,M,1949,1984,lead,Am
Flo Gerish,,,,,F,,1992,unknown,Ct
Gene Gerrard,1931,1937,Gerrard,Gene,M,1892,1971,comedian,Br
Balthazar Getty,1996,,Getty,Balthazar,M,1975,1995,unknown,Ct
John Getz,,,,,M,,1992,unknown,Ct
Alice Ghostley,1954,1972,Ghostley,Alice,F,1926,1984,revue comedienne; character,Am
Stathis Giallelis,1963,1967,Giallelis,Stathis,M,1939,1984,unknown,Gr
Giancarlo Giannini,1966,1984,Giannini,Giancarlo,M,1942,1984,lead,It
Judi Gibbs,,,,,F,,1992,unknown,Ct
Colin Gibson,,,,,M,,1992,unknown,Ct
Helen Gibson,1915,1951,Wenger,Rose August,F,1892,1977,lead,Am
Henry Gibson,1964,1981,Gibson,Henry,M,1935,1984,diminutive comedy character,Am
Hoot Gibson,1915,1961,Richard,Edward,M,1892,1962,cowboy hero,Am
Mel Gibson,1980,1982,Gibson,Mel,M,1951,1984,lead,Au
John Gielgud,1924,1991,Gielgud,Sir John,M,1904,2000,distinguished,Br
Stefan Gierasch,,,,,M,,1992,unknown,Ct
Frank Gifford,,,,,M,,1992,unknown,Ct
Gloria Gifford,,,,,F,,1992,unknown,Ct
Billy Gilbert,1929,1962,Gilbert,Billy,M,1893,1971,character comedian,Am
John Gilbert,1916,1935,Pringle,John,M,1895,1936,great silent lover,Am
Melissa Gilbert,,,,,F,,1992,unknown,Ct
Bruce Gilchrist,,,,,M,,1992,unknown,Ct
Connie Gilchrist,1941,1970,Gilchrist,Connie,F,1901,1984,character,Am
Jack Gilford,1953,1982,Gellman,Jacob,M,1907,1990,comic,Am
Maude Gill,,,,,F,,1992,unknown,Ct
Dana Gillespie,,,,,F,,1992,unknown,Ct
Anita Gillette,,,,,F,,1992,unknown,Ct
William Gillette,1916,1916,Gillette,William,M,1855,1937,personified Sherlock Holmes,Am
Stu Gilliam,,,,,M,,1992,unknown,Ct
Terry Gilliam,,,,,,,1992,unknown,Ct
Jean Gillie,1935,1947,Gillie,Jean,F,1915,1949,lead,Br
Claude Gillingwater,1921,1939,Gillingwater,Claude,M,1870,1939,irascible old man,Am
Ann Gillis,1937,1946,O'Connor,Alma,F,1927,1984,child star,Am
Margalo Gillmore,1932,1956,Gillmore,Margalo,F,1897,1986,unknown,Am
Lowell Gilmore,1947,1954,Gilmore,Lowell,M,1907,1960,general purpose,Am
Virginia Gilmore,1941,,Gilmore,Virginia,F,,1986,unknown,Am
Ian Gilmour,,,,,M,,1992,unknown,Ct
Hermione Gingold,1936,1976,Gingold,Hermione,F,1897,1987,revue comedienne,Br
Robert Ginty,,,,,M,,1992,unknown,Ct
Annie Girardot,1956,1981,Girardot,Annie,F,1931,1984,lead,Fr
Etienne Girardot,1912,1940,Girardot,Etienne,M,1856,1939,dapper,Br
Dorothy Gish,1912,1963,Gish,Dorothy,F,1898,1968,silent,Am
Lillian Gish,1914,1976,deGuiche,Lillian,F,1894,1993,fragile-looking,Am
Kathryn Givney,1948,1959,Givney,Kathryn,F,1897,1978,general purpose,Am
Anton Glanzelius,,,,,M,,1992,unknown,Ct
Yves Glary,,,,,M,,1992,unknown,Am
Gil Glasco,,,,,M,,1992,unknown,Ct
Paul Michael Glaser,1971,1982,Glaser,Paul,M,1943,1984,lead,Am
Sabine Glaser,,,,,F,,1992,unknown,Ct
Ron Glass,,,,,M,,1992,unknown,Ct
Jackie Gleason,1941,1983,Gleason,Jackie,M,1916,1987,heavyweight comedian,Am
Jimmie Gleason,1930,1958,Gleason,James Austin,M,1886,1959,hard-boiled comedy,Am
Lucille Gleason,1929,1945,Gleason,Lucille,F,1886,1947,character,Am
Paul Gleason,,,,,M,,1992,unknown,Ct
Russell Gleason,1929,1944,Gleason,Russell,M,1908,1945,juvenile actor,Am
Roy Glenister,,,,,M,,1992,unknown,Ct
Roy Glenn,1952,1971,Glenn,Roy,M,1901,1970,character,Am
Scott Glenn,1973,1982,Glenn,Scott,M,1942,1984,lead,Am
Sharon Gless,,,,,F,,1992,unknown,Ct
Bruce Glover,,,,,M,,1992,unknown,
Crispin Glover,,,,,M,,1992,unknown,Ct
Danny Glover,1976,1990,Glover,Danny,M,1947,1984,brave black sidekick,Am
John Glover,1980,,,,M,,1992,unknown,Ct
Julian Glover,1963,1981,Glover,Julian,M,1935,1984,general purpose,Br
Carlin Glynn,1986,,Glynn,carlin,F,,1992,wife,Ct
Mary Glynne,1919,1937,Glynne,Mary,F,1898,1954,well-bred,Br
George Gobel,1956,1957,Gobel,George,M,1919,1991,little comic,Am
Paulette Goddard,1931,1972,Levy,Marion,F,1911,1990,pert; pretty,
Willoughby Goddard,1957,1959,Goddard,Willoughby,M,1932,1984,character,Br
Peter Godfrey,1939,1956,Godfrey,Peter,M,1899,1970,unknown,Am
Jacques Godin,,,,,M,,1992,unknown,Ct
Bernard Goetzke,1926,,,,M,,1992,unknown,Ct
John Goff,,,,,M,,1992,unknown,Ct
Norris Goff,1940,1942,Goff,Norris,M,1906,1978,hillbilly: Abner,Am
Gila Golan,1965,1969,Golan,Gila,F,1940,1984,lead,Am
Whoopi Goldberg,1985,1991,Goldberg,Whoopi,F,1950,1984,black character,Am
Jeff Goldblum,1974,1983,Goldblum,Jeff,M,1952,1984,lanky,Am
Charles Goldner,1940,1954,Goldner,Charles,M,1900,1955,character,Os
Lelia Goldoni,1959,1981,Goldoni,Lelia,F,1938,1984,unknown,Am
Matt Goldsby,,,,,M,,1992,unknown,Ct
Clio Goldsmith,,,,,F,,1992,unknown,Ct
Bobcat Goldthwait,,,,,M,,1992,unknown,Ct
Arlene Golonka,,,,,F,,1992,unknown,Ct
Minna Gombell,1931,1952,Gombell,Minna,F,1900,1973,hard-boiled roles,Am
Thomas Gomez,1942,1970,Gomez,Thomas,M,1905,1971,character,Am
Peter Gonzales,1972,,Gonzales,Peter,M,,1984,unknown,Am
Michael Goodliffe,1948,1975,Goodliffe,Michael,M,1914,1976,officer; professional man,Br
Benny Goodman,1938,1955,Goodman,Benny,M,1909,1984,clarinettist; bandleader,Am
Dody Goodman,,,,,,,1992,unknown,Ct
Bill Goodwin,1942,1956,Goodwin,Bill,M,1910,1958,genial type,Am
Harold Goodwin,1950,1969,Goodwin,Harold,M,1917,1984,cockney serviceman; small-time cook,Br
Suki Goodwin,,,,,F,,1992,unknown,Ct
Allen Goorwitz,,,,,M,,1992,unknown,Ct
Leo Gorcey,1937,1969,Gorcey,Leo,M,1915,1969,tough; fast-talking,Am
Colin Gordin,,,,,M,,1992,unknown,Ct
Bruce Gordon,1950,1966,Gordon,Bruce,M,1919,1984,character,Am
C.~Henry Gordon,1931,1940,Gordon,C.~Henry,M,1882,1940,maniacally evil villain,Am
Colin Gordon,1947,1967,Gordon,Colin,M,1911,1972,mildly cynical civil servant,Br
Dexter Gordon,1982,,,,M,,1990,musican,
Don Gordon,,,,,M,,1992,unknown,Ct
Gale Gordon,1942,1968,Aldrich,Gaylord,M,1905,1984,plump; fussy,Am
Keith Gordon,,,,,M,,1992,unknown,Ct
Leo Gordon,1953,1981,Gordon,Leo,M,1922,1984,thick-set,Ct
Mary Gordon,1925,1947,Gordon,Mary,F,1882,1963,tiny,Br
Robert Gordon,,,,,M,,1992,unknown,Ct
Ruth Gordon,1915,1983,Jones,Ruth Gordon,F,1896,1985,distinguished,Am
Marius Goring,1936,1978,Goring,Marius,M,1912,1984,neurotic or fey roles,Br
Cliff Gorman,1969,1980,Gorman,Cliff,M,1936,1984,lead,Am
Lynee Gorman,,,,,F,,1992,unknown,Ct
Karen Gorney,1977,1977,Gorney,Karen Lynn,F,,1984,lead,Am
Frank Gorshin,1957,1981,Gorshin,Frank,M,1935,1984,wiry,Am
Marjoe Gortner,1973,1979,Gortner,Marjoe,F,1941,1984,unknown,Am
Lou Gossett,1968,1983,Gosset,Louis,M,1936,1984,soldier,Am
Lou Gossett~jr.,,, Gosset,Louis,M,,1992,unknown,Ct
Walter Gotell,1959,1980,Gotell,Walter,M,,1984,KGB menace,Br
Ferdinand Gottschalk,1926,1936,Gottschalk,Ferdinand,M,1869,1944,balddomed,Br
Jetta Goudal,1924,1932,Goudal,Jetta,F,1898,1984,lead,Fr
Michael Gough,1946,1983,Gough,Michael,M,1917,1984,homicidal roles,Br
Elliott Gould,1966,1982,Goldstein,Elliott,M,1938,1984,unhandsomeness,Am
Harold Gould,1971,1980,Gould,Harold,M,1923,1984,light character,Am
Jason Gould,1991,,Gould,Jason,M,,,young,Am
Robert Goulet,1963,1980,Applebaum,Stanley,M,1933,1984,lead,Ca
Michael Gover,,,,,M,,1992,unknown,Ct
Gibson Gowland,1917,1937,Gowland,Gibson,M,1872,1951,character,Br
Harry Goz,,,,,M,,1992,unknown,Ct
Patricia Gozzi,1962,1965,Gozzi,Patricia,F,1950,1984,juvenile,Fr
Betty Grable,1930,1955,Grable,Ruth Elizabeth,F,1916,1973,pinup,Am
Nickolas Grace,,,,,M,,1992,unknown,
Gerrit Graham,,,,,M,,1992,unknown,
Gloria Grahame,1944,1980,Hallward,Gloria,F,1924,1981,offbeat blonde,Am
Margot Grahame,1930,1957,Grahame,Margot,F,1911,1984,lead,Br
Alexander Granach,1923,1944,Granach,Alexander,M,1890,1945,character,Po
Farley Granger,1943,1978,Granger,Farley,M,1928,1992,weird lead,Am
Stewart Granger,1933,1977,Stewart,James Lablanche,M,1913,1993,lead,Br
Cary Grant,1932,1966,Leach,Archibald,M,1904,1986,handsome debonair,Br
Kathryn Grant,1953,1960,Grandstaff,Olive,F,1933,1984,lead,Am
Lawrence Grant,1921,1945,Grant,Lawrence,M,1870,1952,character,Br
Lee Grant,1951,1983,Rosenthal,Lyova,F,,1984,dynamic,Am
Richard E. Grant,1992,,Grant,Richard E.,M,,1984,competent,Br
Bonita Granville,1932,1967,Granville,Bonita,F,1923,1988,child actress,Am
Charley Grapewin,1930,1951,Grapewin,Charley,M,1869,1956,character,Am
Peter Graves,1950,1988,Aurnes,Peter,M,1925,1984,suave,Am
Peter Graves,1941,1976,Graves,Peter,M,1911,1984,light comic,Br
Fernand Gravet,1933,1969,Martens,Fernand,M,1904,1970,debonair,Fr
Billy Gray,1946,1962,Gray,Billy,M,1940,1984,juvenile actor,Am
Charles Gray,1960,1978,Gray,Donald M.,M,1928,2000,smooth unsympathetic,Br
Colleen Gray,1947,1968,Jensen,Doris,F,1922,1984,lead,Am
Dolores Gray,1954,1957,Gray,Dolores,F,1924,1984,statuesque,Am
Erin Gray,,,,,,,1992,unknown,Ct
Joel Gray,,,,,M,,1998,dancer,Am
Nadia Gray,1949,1967,Gray,Nadia,F,1923,1984,lead,Ru
Sally Gray,1930,1952,Stevens,Constance,F,1916,1984,heroine,Br
Kathryn Grayson,1940,1976,Hedrick,Zelma,F,1922,1984,singing star,Am
Juliette Greco,1949,1960,Greco,Juliette,F,1927,1984,singer,Fr
Danny Green,1937,1959,Green,Danny,M,1903,1984,cheerful; menacing,Br
Gilbert Green,,,,,M,,1992,unknown,Ct
Keith Green,,,,,M,,1992,unknown,Ct
Marika Green,,,,,F,,1992,unknown,Ct
Martyn Green,1939,1968,Green,Martyn,M,1899,1975,light opera singer,Br
Nigel Green,1956,1971,Green,Nigel,M,1924,1972,dominant,Br
Seth Green,,,,,M,,1992,unknown,Ct
Graham Greene,1934,1973,Greene,Graham,M,1904,1984,distinguished,Am
H.Richard Greene,,,,,M,,1992,unknown,Ct
Leon Green,1967,1976,Green,Leon,M,,1984,stalwart,Br
Lorne Greene,1954,1981,Greene,Lorne,M,1915,1987,solidly built,Ca
Mean Joe Greene,,,,,M,,1992,unknown,Ct
Michael Greene,,,,,M,,1992,unknown,Ct
Richard Greene,1938,1972,Greene,Richard,M,1914,1985,good-looking,Br
Raymond Greenleaf,1941,1950,Greenleaf,Raymond,M,1892,1963,lead,Am
Sidney Greenstreet,1941,1950,Greenstreet,Sidney,M,1879,1954,immense; swindler,Br
Charlotte Greenwood,1918,1956,Greenwood,Charlotte,F,1890,1978,tall comedienne,Am
Joan Greenwood,1940,1978,Greenwood,Joan,F,1921,1987,plummy-voiced,Br
John Greenwood,1930,1952,Greenwood,John,M,1889,1975,composer,Br
Jane Greer,1945,1974,Greer,Bettyjane,F,1924,1984,cool,Am
Clare Greet,,,,,F,,1992,unknown,Ct
Everley Gregg,1932,1945,Gregg,Everley,F,1898,1959,character,Br
Nora Gregor,1929,1939,Gregor,Nora,F,1890,1949,lead,Os
Andre Gregory,,,,,M,,1992,unknown,Ct
Celia Gregory,,,,,F,,1992,unknown,Ct
Dora Gregory,,,,,F,,1992,unknown,Ct
James Gregory,1948,1979,Gregory,James,M,1911,1984,heavy; cop,Am
Mark Gregory,,,,,M,,1992,[1],
John Gregson,1948,1971,Gregson,John,M,1919,1975,likeable,Br
Robert Greig,1930,1948,Greig,Robert,M,1880,1958,servant,Au
Joyce Grenfell,1942,1964,Phipps,Joyce,F,1910,1979,refined gaucherie,Br
Anne Grey,,,,,F,,1992,unknown,Ct
Jennifer Grey,1987,,Grey,Jennifer,F,1960,1984,singer and dancer,Am
Joel Grey,1952,1976,Katz,Joe,M,1932,1984,singer and dancer,Am
Lita Grey,1920,1930,MacMurray,Lillita,F,1909,1984,juvenile,Am
Nan Grey,1934,1941,Miller,Eschol Loleet,F,1918,1993,blonde,Am
